	N120	N123	N124	N126	N130	N131	N138	N140	N144	N146	N148	N149	N150	N151	N152	N153	N155	N158	N160	N163	N164	N165	N166	N169	N171	N172	N176	N178	N179	N182	N185	N186	N187	N188	N189	N192	N193	N195	N197	N198	N199	N200	N202	N203	N205	N210	N212	N214	N215	N216	N217	N221	N222	N224	N226	N228	N229	N232	N233	N234	N235	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N259	N261	N265	N267	N268	N269	N270	N153A
TINAGL1	5.275243173	3.951238426	5.557897227	4.935188688	2.491990672	5.852266476	5.332023348	5.162400593	4.364534707	5.906153971	4.846211435	7.116998377	6.703773173	5.848459649	5.084991684	6.059475735	5.683531268	6.536553173	6.347005254	3.864539203	4.811860323	5.163024707	6.738086346	9.65253619	5.909883173	5.432874571	5.716368852	5.121271188	6.249113173	6.562201268	4.485608688	6.753822824	6.097706266	6.181981733	4.542166999	4.849501268	5.38812	4.73063	5.913414707	5.979178767	6.15072907	7.414753689	4.421033348	7.155207338	5.757259879	4.745968767	6.091203173	5.873954185	4.793938095	6.676213349	6.830059649	6.270519879	6.844376472	6.044531268	6.805965195	6.159888095	4.710066758	5.579467499	5.823801631	5.547255735	5.92564	3.103496187	6.462788095	6.34608	4.228206476	3.570686176	4.75253	6.073689879	6.701556472	5.09799907	5.545586266	4.837718095	3.00083	5.802074234	6.25101314	6.836693971	3.440652824	5.94427	6.19973907	5.6524
GLRX	0.724673173	0.395448426	0.0	0.426688688	1.227260672	1.198856476	1.372353348	0.177980593	1.563664707	0.384193971	3.076591435	1.871058377	2.442603173	1.161539649	0.979011684	2.006505735	1.325821268	2.837803173	0.962795254	1.239899203	1.101790323	0.762744707	0.0	0.0	0.0	0.252374571	1.212498852	1.641181188	0.0	1.504911268	0.009838688	2.037302824	0.747826266	2.715971733	1.811146999	0.995521268	0.61503	1.09115	0.078624707	0.365068767	1.24229907	1.877713689	0.0	1.693977338	0.0	0.0	1.960003173	2.847044185	2.766268095	2.383143349	3.383269649	1.911919879	1.595166472	2.383011268	0.956075195	0.704398095	0.711356758	2.455627499	0.932181631	2.162895735	0.59325	0.916896187	2.004338095	0.13092	0.740746476	0.374146176	0.0	1.331769879	1.046306472	0.95810907	2.040166266	1.046238095	0.9036	0.877914234	1.10922314	1.708343971	0.0	0.52928	1.35873907	0.03817
ENO2	2.981303173	0.541588426	0.574107227	2.315148688	1.321180672	3.436526476	3.916153348	0.939220593	3.066614707	2.739663971	4.829871435	6.032118377	5.285303173	4.819869649	2.368611684	3.623645735	1.870081268	5.044773173	4.639985254	2.645029203	2.309270323	2.947174707	3.411786346	7.00332619	2.591963173	0.0	3.536868852	2.979291188	0.622813173	2.631111268	0.279698688	3.791952824	1.721566266	4.671491733	2.875846999	3.489061268	0.85727	3.8137	1.743914707	1.830528767	4.33303907	4.824073689	0.380073348	5.798507338	0.809289879	0.0	5.172463173	6.038544185	4.812528095	4.932323349	6.063809649	6.073969879	6.880066472	4.001111268	3.728635195	3.992058095	2.319856758	5.300417499	3.033471631	3.525415735	3.1493	1.085956187	5.389318095	1.4482	2.081636476	1.067106176	1.12825	2.240259879	3.539656472	1.62571907	2.835886266	2.960298095	0.26098	2.914064234	3.37240314	4.853943971	0.0	2.63665	5.75351907	2.55405
NADK	2.998563173	2.487778426	1.086747227	4.003678688	4.520390672	4.576786476	4.593673348	2.697540593	5.857564707	3.627623971	7.397291435	5.555888377	5.982513173	5.534939649	3.165831684	5.806575735	3.377301268	8.239753173	3.787505254	5.585499203	2.811170323	1.986364707	3.829926346	6.70957619	4.707253173	2.024184571	5.698068852	4.114901188	2.346513173	5.098511268	1.720038688	7.252062824	1.077736266	7.208741733	4.712966999	3.366971268	2.497	4.5406	1.199344707	1.368098767	5.09351907	7.013873689	2.761313348	5.828667338	2.517029879	0.455018767	5.767443173	7.287334185	6.472368095	5.868703349	6.060639649	6.531729879	5.116766472	5.525231268	4.674705195	4.564548095	3.509636758	6.848047499	3.847051631	6.372655735	5.05147	2.711946187	6.449778095	3.78763	2.448626476	2.067986176	0.81983	3.496649879	3.801226472	1.76301907	5.554246266	4.569118095	0.19904	5.748114234	4.17228314	5.758833971	0.0	3.95171	5.55713907	2.5277
SERPINB8	3.193693173	3.338598426	0.267117227	2.849668688	3.249810672	5.784796476	4.468993348	5.015090593	5.412674707	2.319753971	6.695421435	5.550208377	6.259823173	3.802609649	5.353871684	4.555275735	2.378101268	7.025363173	4.115505254	4.337929203	3.559360323	2.616154707	2.236836346	7.25484619	3.458343173	1.366434571	4.475958852	3.718821188	2.099113173	3.252371268	3.389428688	5.960712824	1.522366266	5.641681733	4.231806999	5.145501268	1.52215	3.70677	2.201984707	1.611348767	4.58291907	5.788453689	3.267843348	5.030827338	2.606309879	3.913878767	5.416903173	6.590674185	6.151128095	5.344833349	5.510599649	5.777029879	4.441826472	5.234471268	3.906135195	3.966978095	4.600846758	5.734437499	3.053641631	6.014245735	3.71657	3.294656187	5.473808095	3.15387	3.372356476	2.335116176	1.36738	3.275589879	2.748216472	2.62311907	4.131706266	4.589358095	0.36781	5.171984234	3.09349314	4.613043971	2.047852824	3.48517	5.09332907	1.42586
SERPINB6	4.252603173	3.680498426	1.774667227	3.868828688	3.651260672	5.372986476	4.689993348	4.303220593	4.735334707	3.802783971	6.091811435	5.934198377	5.957413173	5.254889649	4.456111684	4.948195735	2.797361268	5.777233173	5.211435254	4.323849203	4.241440323	4.372994707	4.456896346	8.41531619	4.612193173	2.468714571	5.303358852	4.806181188	3.894863173	4.377511268	3.674638688	5.610602824	3.088156266	5.729631733	3.963046999	5.614381268	3.40328	4.66414	3.178884707	2.194588767	5.05144907	5.727223689	3.218703348	6.233097338	2.995249879	3.224568767	5.577483173	5.804104185	5.434928095	5.381433349	5.756499649	5.813579879	5.974606472	6.359091268	4.672595195	4.872858095	4.572886758	5.891737499	5.083601631	5.827875735	4.48047	3.454486187	5.528528095	4.22065	3.915766476	2.955896176	2.67718	4.033599879	3.915706472	2.79872907	4.808856266	4.318158095	1.55287	5.089364234	4.52491314	5.914173971	2.669322824	4.32277	5.73295907	3.67623
CDHR5	0.749693173	0.061678426	0.0	0.210338688	0.056690672	0.220096476	0.099263348	-0.121539407	0.403184707	0.787603971	0.443881435	0.977438377	1.763083173	0.664559649	-0.069748316	1.351385735	1.098611268	0.0	0.867065254	0.125569203	0.269870323	0.248444707	1.262816346	4.98898619	0.933073173	0.338624571	1.013248852	0.0	0.527123173	1.541321268	0.0	0.802272824	1.128416266	0.907921733	1.018486999	0.078591268	0.34444	0.39264	0.331884707	0.299598767	0.85702907	1.218703689	0.167343348	1.495637338	0.980429879	0.503098767	0.816823173	0.755034185	0.703308095	0.677503349	0.966359649	1.530729879	1.347906472	2.298221268	1.077225195	0.549868095	0.597386758	0.604817499	1.048571631	1.173515735	0.51989	0.697096187	0.734298095	0.41489	-0.048093524	0.020176176	0.46181	0.974499879	1.279046472	0.69342907	1.361486266	0.462858095	0.26499	0.306404234	0.95298314	1.648203971	0.791482824	0.55196	0.65919907	0.22916
CCDC80	10.66159317	9.030978426	4.818227227	8.935598688	9.144420672	10.84708648	10.81592335	8.969530593	10.98328471	8.838423971	10.96828144	11.82076838	12.57260317	11.22389965	9.949001684	12.23958574	11.19049127	11.38958317	8.805535254	10.5389992	9.667470323	8.488654707	11.36024635	11.63250619	10.02208317	8.311304571	11.49528885	10.59147119	8.878723173	11.73726127	7.880508688	11.29577282	7.111126266	11.57676173	10.777837	6.468411268	8.559	11.03785	8.393734707	10.18428877	11.34224907	12.16529369	7.663013348	12.41260734	9.022969879	8.730928767	11.32718317	11.05567419	10.68492809	11.45866335	11.37690965	11.86897988	11.14330647	11.75313127	12.10441519	10.00143809	10.21660676	11.6668975	10.54614163	11.42983574	11.22569	8.793256187	11.06066809	9.82175	9.001606476	9.981996176	7.51818	9.465289879	10.81116647	7.74877907	11.76556627	10.10806809	6.00322	10.18165423	11.38970314	12.05532397	8.413492824	9.54147	11.31771907	10.37757
SEMA3F	0.834253173	0.006688426	-0.029982773	0.054518688	-0.003299328	-0.084593524	0.408053348	0.026050593	0.468404707	0.802303971	0.881811435	1.535618377	1.716373173	0.873699649	0.028481684	1.344555735	1.142631268	1.294003173	0.381055254	-0.049850797	0.411510323	0.118834707	1.853576346	0.0	0.736753173	0.0	2.018538852	1.642991188	0.543173173	1.549131268	0.133938688	0.960272824	1.131926266	1.093021733	0.644766999	0.129831268	0.23309	0.5736	0.360984707	0.300528767	1.09634907	2.082203689	0.426783348	1.958877338	0.881809879	0.467308767	1.199903173	0.904594185	1.083308095	1.267723349	1.258069649	1.528879879	1.613626472	2.238301268	0.918885195	0.721448095	0.310056758	0.941087499	1.044691631	1.318415735	0.66595	0.471356187	0.790888095	0.52573	0.158656476	0.009726176	0.46228	1.190349879	1.907696472	0.68471907	1.123266266	0.370458095	0.2237	0.520034234	0.92859314	1.885593971	0.506202824	0.58685	0.88955907	0.6771
KLK10	1.049193173	0.828618426	-0.090052773	0.494778688	2.389140672	1.336036476	1.451703348	0.885820593	2.225604707	0.918973971	3.061771435	1.416358377	2.470863173	1.385269649	2.849561684	2.856085735	1.777681268	1.816133173	1.011735254	1.895119203	2.608430323	0.693494707	2.296606346	0.0	1.896553173	0.262224571	1.003498852	0.0	0.859873173	2.164321268	1.225128688	0.898652824	1.265466266	1.360131733	1.971766999	0.948561268	0.72094	1.42174	0.316654707	0.655788767	1.07704907	2.076283689	0.338183348	1.359667338	0.803829879	1.554248767	1.595843173	1.438404185	1.531098095	1.687723349	2.366359649	3.181019879	2.036456472	2.251491268	1.500555195	1.127238095	0.803876758	2.376267499	1.441981631	1.982815735	1.28505	1.370696187	2.117358095	0.45115	2.344486476	2.319996176	0.30853	1.172569879	1.379736472	1.26817907	2.886606266	1.474058095	1.27026	1.142224234	0.87992314	1.897733971	0.0	0.9096	1.65040907	0.19284
PILRB	5.022103173	4.677998426	1.487397227	3.663498688	4.759840672	4.734376476	5.351663348	5.814320593	3.578594707	2.963203971	6.310061435	4.787758377	6.534533173	5.899319649	6.312631684	3.389725735	3.279401268	7.672103173	5.774985254	5.436819203	5.728160323	4.427234707	2.739436346	6.88002619	4.904633173	3.855854571	4.734838852	3.850011188	3.691363173	5.248501268	4.391268688	6.553772824	2.433876266	5.687011733	2.998656999	4.784931268	2.731	4.75712	4.224354707	4.750538767	4.73008907	5.704293689	4.234873348	4.609117338	4.567219879	3.456078767	6.296793173	6.364314185	5.960878095	6.906793349	5.557529649	5.652099879	4.085636472	4.388431268	5.177325195	5.093188095	5.308316758	4.168567499	4.787951631	6.143235735	4.56274	5.493936187	6.727618095	3.36447	5.413536476	4.102526176	3.85939	5.035189879	3.574816472	3.98380907	5.059356266	5.095178095	3.30674	5.095354234	4.03298314	4.775723971	4.169832824	4.38808	5.00755907	3.10538
ANGPTL1	2.987493173	1.074728426	1.499647227	1.766718688	0.296110672	0.754826476	3.011743348	0.0	2.305774707	2.890953971	3.364031435	3.849848377	4.033113173	3.797269649	0.356111684	2.563665735	1.479491268	2.623593173	1.269655254	1.468769203	1.078160323	1.008534707	3.585256346	6.06162619	3.222123173	1.861744571	2.870118852	3.068141188	2.652463173	3.635671268	0.323678688	3.389222824	1.192756266	4.014011733	1.873526999	1.363211268	2.09239	1.95687	1.044234707	1.783178767	2.68379907	4.625843689	1.189343348	5.890857338	2.223339879	0.287638767	5.174093173	4.417174185	2.423518095	4.665103349	5.453259649	4.695609879	3.371916472	2.736711268	3.483115195	4.143608095	0.292456758	3.620327499	3.203501631	2.908105735	2.58068	1.267736187	4.191608095	2.4359	0.408336476	0.708736176	0.42086	2.849399879	3.824896472	0.89546907	3.206276266	2.547908095	0.62309	2.933934234	2.62852314	5.342303971	0.0	3.67657	5.23276907	2.62968
TYMP	4.836213173	3.363028426	1.415607227	5.703028688	5.211950672	6.478516476	7.559063348	4.047380593	9.334634707	3.596673971	9.756601435	8.386438377	8.045793173	6.937239649	5.740491684	7.385115735	5.850941268	10.59569317	3.188885254	7.769899203	5.695610323	3.636184707	3.181826346	5.67570619	4.087223173	2.412974571	7.666818852	6.335091188	1.480263173	6.417131268	2.055478688	9.018522824	0.853076266	9.435491733	7.014316999	4.651121268	2.23684	7.01883	2.215584707	3.055358767	6.85286907	9.479683689	1.763343348	8.035427338	2.343939879	2.302408767	8.802633173	9.942784185	9.217698095	8.396703349	8.690829649	10.48501988	5.911356472	8.279241268	6.867305195	4.402568095	4.830686758	10.2943375	5.566311631	8.641425735	7.308	4.490686187	8.858318095	1.76735	5.574436476	5.332696176	2.54396	4.123549879	4.623626472	3.26625907	7.174416266	5.846728095	2.80256	5.000484234	5.17453314	7.300913971	1.143062824	3.27457	6.80560907	3.636
LILRA5	0.733743173	0.679378426	-0.060832773	0.247818688	2.071320672	0.971226476	0.594923348	0.712440593	1.326424707	0.776393971	2.317041435	1.046978377	2.134513173	0.936689649	0.950811684	1.815605735	0.994401268	2.636963173	0.950275254	0.895739203	1.214120323	0.313444707	0.0	4.69149619	1.021363173	0.340214571	1.849288852	1.833061188	0.0	1.569031268	0.286798688	1.887032824	0.0	1.815481733	1.016056999	0.610741268	0.0	0.63883	0.537844707	0.0	1.49398907	1.934453689	0.673313348	1.368277338	0.785599879	0.0	1.226193173	1.506104185	1.629778095	1.471133349	1.043629649	1.855149879	1.211356472	2.405591268	1.019915195	0.582898095	0.840016758	1.276277499	1.023391631	2.148285735	0.72918	1.419796187	0.863978095	0.5609	0.888396476	0.751406176	0.47541	1.209679879	1.033186472	0.76784907	1.387966266	1.126358095	0.63346	1.359184234	0.84533314	1.801123971	0.766082824	0.20781	0.73784907	0.27506
ALDH1A1	2.157963173	0.359128426	0.836867227	3.012578688	1.700960672	1.351706476	2.696453348	0.144810593	2.634424707	2.307193971	4.984961435	4.812948377	4.262243173	3.539059649	1.008081684	3.561905735	1.396941268	4.321613173	2.157015254	2.233959203	0.308780323	1.162004707	2.372866346	5.45312619	1.517233173	0.857464571	3.548468852	3.294021188	0.963963173	2.840301268	0.208888688	4.133252824	0.696706266	3.710401733	2.464076999	2.224091268	0.48295	2.61117	0.0	0.0	2.59772907	4.368243689	0.225903348	4.698067338	0.0	0.0	3.297193173	4.006334185	4.266158095	3.913933349	4.407789649	4.300239879	3.996976472	3.607871268	2.439415195	3.129138095	1.431716758	4.365267499	2.080361631	3.913295735	3.08513	1.214966187	3.653878095	1.00035	0.920756476	-0.012633824	0.25022	1.416079879	2.510956472	0.52705907	3.508656266	1.337778095	0.0	1.859464234	2.80345314	4.173793971	0.0	2.19713	3.25265907	1.13164
CD79B	0.0	-0.247791574	0.0	-0.103861312	0.197720672	0.004196476	0.201193348	-0.272949407	0.375874707	0.417563971	0.822221435	0.730428377	0.0	0.585309649	0.193251684	1.197605735	0.945271268	1.033813173	0.367175254	0.0	-0.110189677	0.014664707	0.0	0.0	0.0	0.0	0.973508852	1.885111188	0.0	1.038781268	0.821368688	0.445322824	0.738606266	0.693561733	0.619896999	0.478071268	0.0	0.0753	0.137084707	0.0	0.99077907	1.229573689	0.0	1.185837338	0.0	0.0	0.910823173	0.403034185	2.510008095	0.631543349	0.536309649	0.936999879	1.032296472	2.139821268	0.0	0.490748095	0.784756758	1.706337499	0.825531631	1.180095735	0.34233	0.445946187	0.0	0.11966	0.220516476	0.0	0.23934	0.841279879	0.955336472	0.51270907	0.0	0.0	0.03232	0.198084234	0.78809314	0.0	0.599652824	0.07762	0.69019907	0.20498
ANXA4	4.985293173	2.701408426	2.573787227	4.591648688	1.923480672	5.279626476	4.675113348	2.312090593	4.254734707	4.546773971	5.594201435	5.987768377	6.588973173	5.472819649	1.695531684	4.765275735	2.448211268	5.513993173	5.764865254	3.300889203	0.645810323	2.231654707	4.326606346	9.47427619	5.073493173	2.443404571	4.905168852	5.457031188	3.878213173	4.739441268	3.476178688	5.351042824	2.036496266	5.603731733	4.673486999	5.270201268	3.3334	5.06229	0.789164707	1.512978767	4.99695907	6.071383689	3.821163348	5.991547338	3.570149879	1.144148767	5.755043173	5.805194185	5.112078095	5.459653349	5.774459649	5.960299879	6.016436472	7.010531268	4.427705195	5.318828095	4.303976758	5.389517499	5.163731631	5.935455735	4.25257	2.009976187	5.593058095	4.48966	0.818416476	-0.028243824	1.71405	3.951299879	5.014246472	1.86486907	4.715066266	3.316228095	0.17751	4.764554234	4.47249314	5.776503971	0.0	4.49243	5.24903907	4.25562
ANXA11	4.705423173	3.256898426	3.640877227	4.914278688	3.110200672	3.892216476	4.911843348	2.976860593	4.582524707	4.839683971	5.951361435	5.654528377	6.761783173	5.853449649	3.674271684	4.877015735	2.369681268	5.400193173	4.746415254	4.116899203	2.956460323	3.839434707	3.784936346	8.23320619	4.632853173	3.619114571	4.838238852	5.306431188	3.814553173	5.395381268	4.671668688	6.500832824	3.650716266	6.613041733	4.223346999	5.124071268	3.97043	5.8124	3.027084707	3.172488767	5.59952907	5.962593689	3.339623348	5.426877338	4.251729879	2.782858767	5.626963173	6.506414185	6.419478095	6.050023349	6.636179649	5.635809879	5.679136472	6.876481268	4.919635195	5.546178095	4.154316758	5.327987499	5.858071631	5.981855735	4.39836	3.600176187	5.530368095	4.57886	2.387136476	1.693466176	3.499	4.924599879	6.510246472	2.85217907	4.960966266	4.716598095	2.66133	4.318624234	5.05329314	6.055663971	1.648352824	4.83621	5.81000907	4.72845
SIGLEC7	2.126983173	2.077858426	0.640137227	1.371298688	2.309380672	2.963576476	2.597353348	2.407360593	3.043544707	1.475003971	4.680651435	2.508518377	3.979423173	2.601149649	2.397101684	3.534255735	1.909721268	4.585563173	2.188405254	3.768479203	2.231050323	2.335654707	1.824556346	5.85686619	2.648783173	1.672394571	3.553088852	4.356511188	1.536463173	2.568631268	1.923398688	4.571062824	1.088146266	4.078761733	2.755116999	2.642891268	0.62551	1.89776	1.361824707	1.005118767	3.30085907	4.647983689	1.647763348	2.550137338	1.678999879	1.136328767	3.161423173	3.614844185	3.791098095	3.731163349	2.670529649	3.351659879	1.576836472	4.509961268	2.191435195	2.344698095	2.595886758	3.508857499	2.899781631	4.061145735	2.40657	3.350606187	3.686158095	1.68047	1.269666476	1.234176176	1.16102	2.768299879	2.102416472	1.53307907	3.145756266	2.637598095	0.89659	3.523724234	2.98823314	3.030523971	1.568392824	1.51158	3.25807907	2.04566
QDPR	3.547033173	2.490978426	1.229367227	3.266128688	2.957300672	5.456596476	4.294203348	2.956640593	3.475214707	3.551653971	5.053601435	6.006688377	5.551923173	4.749469649	0.644771684	4.199825735	1.796601268	5.223573173	5.688325254	2.887459203	0.609440323	3.505084707	4.045526346	8.66305619	4.367793173	0.962164571	3.696118852	3.267911188	3.335613173	3.132911268	1.493228688	4.397962824	2.953976266	4.887971733	3.151286999	5.220381268	3.48762	4.16859	0.535114707	2.320828767	4.31817907	5.113503689	2.818943348	5.647757338	3.021049879	0.0	5.425523173	5.638164185	4.845398095	4.830393349	5.783059649	5.653499879	6.630986472	4.701561268	4.185245195	4.655558095	4.391966758	5.302817499	3.647351631	4.141005735	3.73044	1.993986187	5.569228095	3.11673	0.514216476	0.273236176	1.71169	3.096209879	3.261206472	1.26543907	3.329496266	3.970868095	0.0	4.774834234	3.61945314	5.520723971	0.0	4.16381	5.25610907	2.48177
SNAP23	0.679543173	0.347918426	0.042957227	0.047848688	0.369090672	1.415936476	0.690033348	0.079280593	0.812664707	0.840103971	2.261111435	1.673308377	2.129813173	1.439959649	1.384741684	1.592115735	0.0	1.958093173	1.798845254	0.717909203	0.745540323	0.848974707	1.083726346	4.98526619	1.050733173	0.0	0.998278852	0.0	0.0	1.123671268	0.456048688	1.699202824	0.768056266	1.691951733	0.628976999	1.591211268	0.33177	0.7879	0.848674707	0.0	1.05549907	1.630843689	0.097883348	1.663667338	0.826599879	0.626078767	1.219013173	2.233144185	1.548478095	1.646413349	2.449689649	1.748399879	2.070546472	2.196961268	0.0	1.093468095	1.374406758	1.487847499	0.953691631	1.714545735	0.55679	0.474486187	1.534968095	0.22886	1.347786476	1.019316176	0.26449	1.174159879	0.990526472	0.51353907	1.110296266	1.082168095	0.41507	0.957124234	0.81514314	1.704983971	0.0	0.66118	1.44254907	0.44007
APEX1	7.116963173	6.517788426	5.277187227	6.558608688	6.874000672	7.776726476	7.401513348	7.047590593	8.069104707	6.376603971	8.287671435	8.552808377	8.918183173	8.131319649	7.587971684	8.618115735	6.272061268	8.765303173	8.833185254	7.200799203	7.479820323	7.283494707	7.334356346	11.76319619	8.092513173	5.946194571	8.332468852	7.664201188	7.149583173	7.253031268	6.910438688	8.672292824	8.091246266	8.720111733	7.704056999	7.576251268	6.88693	7.65134	7.888864707	7.095648767	7.91737907	8.329703689	6.689433348	8.335537338	7.441059879	6.326628767	8.856653173	8.142794185	7.971748095	8.193483349	8.482249649	8.659109879	9.147056472	8.210181268	7.540915195	8.271298095	8.316216758	8.069327499	6.929151631	8.332895735	6.9499	5.285556187	8.162338095	7.40604	7.023076476	6.922436176	6.39766	7.565339879	7.618146472	6.54461907	7.585636266	8.252818095	5.49636	8.303184234	7.41557314	9.247083971	7.189212824	8.18156	8.29091907	5.87408
COMT	2.488323173	0.943738426	0.070647227	1.902078688	1.348810672	1.996706476	2.480633348	0.645570593	2.986714707	1.241053971	4.456411435	3.486698377	3.764403173	2.337819649	1.048331684	3.352955735	1.051891268	3.512273173	1.136835254	3.125359203	0.742500323	0.909234707	1.228746346	5.31078619	1.850113173	0.673374571	2.388208852	2.904741188	0.0	1.904541268	0.867788688	3.772222824	0.0	3.373161733	1.529366999	1.365511268	0.70181	2.40096	0.043894707	0.0	2.33065907	3.561763689	0.0	3.592367338	0.754519879	0.386468767	2.824443173	4.207844185	4.071098095	3.220583349	3.447519649	3.510899879	2.104346472	3.361731268	2.291345195	1.955388095	1.873006758	3.512887499	2.539621631	3.880285735	2.28358	1.458586187	3.598388095	1.07234	0.962886476	1.147766176	0.40369	1.659259879	2.445546472	0.0	2.408806266	2.224568095	0.04468	1.645234234	2.11906314	3.182443971	0.0	1.68335	3.24313907	1.27098
CLUL1	0.617613173	0.0	0.0	0.016718688	0.080480672	0.152696476	0.066013348	0.072960593	0.393164707	0.391333971	0.812021435	0.896528377	1.589263173	0.619889649	0.0	1.296295735	0.980571268	1.489943173	0.439415254	0.204849203	-0.069349677	0.162774707	1.480966346	0.0	0.664643173	0.0	1.152898852	1.554451188	0.0	1.180081268	-0.051111312	0.562352824	1.042656266	0.878291733	0.0	-0.149288732	0.0	0.0	0.179474707	0.0	1.06739907	1.386543689	0.0	1.096737338	0.0	0.346968767	0.689783173	0.399594185	0.833728095	0.999073349	0.527249649	0.951279879	1.100016472	0.0	0.863935195	0.658748095	0.381636758	0.0	0.635441631	1.184455735	0.24464	0.589356187	0.426488095	0.26718	0.070556476	-0.134083824	0.14403	0.849609879	1.084406472	0.56314907	0.995586266	0.0	0.04148	0.229544234	0.79851314	1.455993971	0.714242824	0.2436	0.56067907	0.44349
HDGF	2.585483173	3.584958426	0.495477227	2.081718688	1.720920672	3.425006476	2.542533348	2.440350593	3.941814707	2.838463971	4.765411435	4.151208377	4.431503173	4.805729649	4.633681684	4.186265735	1.982011268	5.113873173	5.654845254	3.147519203	2.984990323	3.396564707	3.745906346	7.79544619	4.276543173	1.492454571	2.696918852	3.614401188	3.620143173	4.178231268	3.028788688	3.252392824	2.741916266	3.638711733	3.329736999	4.528231268	3.27718	2.48158	4.647304707	2.051548767	4.17197907	3.350463689	2.442833348	4.119967338	3.846089879	2.356318767	3.914673173	6.067914185	3.021348095	3.172423349	6.120539649	5.194609879	5.246966472	3.690381268	2.637185195	4.771258095	4.264786758	3.937857499	2.956461631	5.114915735	3.58763	2.051266187	6.059168095	2.53967	3.295046476	3.129276176	2.50349	3.569339879	4.555456472	2.22434907	2.544606266	4.456908095	2.18389	3.390634234	2.32697314	4.193443971	3.111152824	2.88867	3.33242907	0.88536
CTSH	0.768813173	0.021658426	-0.075152773	1.027898688	0.710020672	0.894786476	0.992673348	0.544050593	2.069854707	0.0	2.214821435	1.230418377	2.729703173	0.0	1.876171684	1.684685735	0.982901268	3.838063173	0.341105254	2.025729203	2.227470323	0.571394707	0.0	0.0	0.0	1.193774571	1.455658852	1.994291188	0.0	0.0	0.0	1.274072824	0.0	2.786321733	1.596186999	0.901331268	0.0	1.42566	0.0	0.627858767	1.03162907	2.025663689	0.0	0.0	0.0	0.652808767	0.645713173	2.097594185	2.713048095	1.386503349	1.105219649	1.483239879	0.0	3.080911268	1.321795195	0.368788095	0.0	1.664127499	1.890411631	2.589575735	0.81476	0.910456187	1.516338095	0.0	1.328726476	1.229006176	0.48158	1.376929879	1.096646472	0.83852907	1.238226266	1.160498095	1.34663	0.513024234	0.86080314	0.0	0.0	0.1267	1.20957907	0.0
NOMO1	1.323763173	0.185878426	0.495727227	0.751938688	0.647550672	0.703926476	0.490273348	0.122520593	1.264744707	1.141033971	1.206931435	1.278788377	2.181043173	1.318499649	0.311411684	2.372295735	0.973281268	1.067383173	0.718775254	1.196799203	0.734890323	0.759964707	1.230646346	5.01828619	1.335253173	0.699784571	1.197288852	2.387001188	1.029633173	1.547351268	0.765818688	1.744102824	1.587466266	1.457121733	0.779336999	0.403911268	0.52823	1.65154	0.391544707	0.981578767	1.50237907	1.632363689	0.597643348	1.820357338	1.061029879	0.925618767	0.967233173	1.185324185	2.758138095	1.018833349	1.564489649	1.386909879	1.375416472	2.765121268	1.233935195	1.438058095	1.256956758	1.160227499	1.832821631	1.862515735	0.73721	1.048706187	1.442878095	0.84328	0.056006476	0.356706176	0.154	1.340499879	1.461046472	0.57682907	1.599726266	1.098808095	0.67721	0.902934234	1.59768314	1.972833971	0.640312824	1.54472	1.14932907	1.15688
SOST	10.17667317	7.476998426	9.380127227	9.761728688	3.822830672	8.126726476	8.335783348	6.482890593	4.733194707	10.18938397	9.651021435	10.60235838	10.60468317	10.32665965	9.289271684	10.78795574	10.04415127	9.192873173	9.695685254	7.054429203	6.705090323	8.623234707	9.514116346	13.87914619	10.13107317	9.495324571	8.415958852	10.82677119	10.30314317	10.40692127	6.680088688	9.735632824	10.05906627	10.63035173	8.910616999	7.205331268	10.16765	8.96907	9.336334707	10.09077877	10.70533907	10.54858369	7.592933348	10.60089734	10.23257988	10.08799877	9.363313173	10.14522419	9.897438095	10.49957335	10.86902965	10.92622988	10.14028647	10.43174127	10.40935519	10.04331809	9.814966758	9.521837499	9.488661631	10.16595574	9.37207	4.702616187	9.734718095	10.05025	8.667686476	4.672846176	8.49823	10.68795988	9.810476472	6.59320907	9.704456266	9.219098095	5.34679	8.235154234	10.09424314	10.30966397	8.192312824	9.35827	10.31856907	9.15396
FAM3C	1.335583173	0.133958426	-0.067362773	0.511578688	0.261590672	1.181736476	0.515513348	0.154210593	1.018044707	0.916303971	1.643371435	1.569378377	2.271673173	1.382719649	0.472631684	1.854525735	0.977501268	1.791483173	0.999775254	0.629199203	0.567350323	0.344484707	1.441606346	4.76926619	0.955173173	0.315464571	1.363468852	2.529491188	0.0	1.518131268	0.715678688	1.803382824	1.056136266	1.559931733	0.777376999	1.029641268	0.28754	1.49921	0.568424707	0.353188767	1.56849907	1.502933689	0.677183348	2.070597338	0.891599879	0.484248767	1.776483173	1.437364185	2.870328095	1.251553349	1.742349649	1.769809879	1.865416472	3.175941268	0.865535195	1.062858095	0.960326758	1.954917499	1.373651631	2.289825735	0.53394	0.823816187	1.016118095	0.45971	0.368646476	0.0	0.47801	1.801329879	1.234866472	0.87214907	1.228316266	0.549958095	0.281	1.002314234	0.82909314	1.957643971	0.693142824	0.93782	0.95512907	1.00411
